num,id_me,id_Hafro,id_marina,species,morph,length_cm,weight_g,sex,mat,age,location,old_image_name,new_image_name,teeth_den,teeth_max,teeth_pre,teeth_pal,teeth_vo,teeth_glos
116,PC4246,,2061,B,SB,29.7,285,F,7?,5,Mjoanes,GOJfall20_mand_PC4246_02.JPG,CFAC_20_MAN_PC4246_02.JPG,15.25,18.5,8.25,15.5,5,11.5
117,PC4247,,2062,B,PL,29.9,270,F,7,7,Mjoanes,GOJfall20_mand_PC4247_02.JPG,CFAC_20_MAN_PC4247_02.JPG,16,18.75,7.25,20,5,13
118,PC4248,,2063,B,PL,26,180,F,7,7,Mjoanes,GOJfall20_mand_PC4248_02.JPG,CFAC_20_MAN_PC4248_02.JPG,16.5,17.5,7.25,17.25,4.5,12
119,PC4249,,2064,B,PI,47,1150,F,7,11,Mjoanes,GOJfall20_mand_PC4249_02.JPG,CFAC_20_MAN_PC4249_02.JPG,17.5,21,7.25,19.5,5,9
120,PC4250,,2065,B,PI,45,905,F,7,7,Mjoanes,GOJfall20_mand_PC4250_03.JPG,CFAC_20_MAN_PC4250_02.JPG,16.25,23.5,7.5,16.5,3,13
121,PC4251,,2066,B,PI,42.9,945,F,7,8,Mjoanes,GOJfall20_mand_PC4251_02.JPG,CFAC_20_MAN_PC4251_02.JPG,15.75,22,7.5,19,5,14
122,PC4252,,2067,B,PI,32.8,430,M,6,7,Mjoanes,GOJfall20_mand_PC4252_02.JPG,CFAC_20_MAN_PC4252_02.JPG,14.25,19.75,7.75,17,5.5,11.5
123,PC4253,,2068,B,PI,31,360,F,6,7,Mjoanes,GOJfall20_mand_PC4253_02.JPG,CFAC_20_MAN_PC4253_02.JPG,14.5,22.5,7.75,17.75,6,12
124,PC4254,,2069,B,PI,31.5,340,F,7,10,Mjoanes,GOJfall20_mand_PC4254_02.JPG,CFAC_20_MAN_PC4254_02.JPG,16.5,24.75,8.25,18.5,5.5,11.5
125,PC4255,,2070,B,PI,34.4,375,F,7,7,Mjoanes,GOJfall20_mand_PC4255_02.JPG,CFAC_20_MAN_PC4255_02.JPG,15.25,23,8,18.5,6,13.5
126,PC4256,,2071,B,PI,28.9,265,M,6,8,Mjoanes,GOJfall20_mand_PC4256_02.JPG,CFAC_20_MAN_PC4256_02.JPG,14.5,19.75,6.5,15.75,5.5,11
127,PC4257,,2072,B,PI,29.6,265,M,5,7,Mjoanes,GOJfall20_mand_PC4257_02.JPG,CFAC_20_MAN_PC4257_02.JPG,16.5,21.25,7.5,19.25,4.5,13.5
128,PC4258,,2073,B,PI,30,240,F,7,8,Mjoanes,GOJfall20_mand_PC4258_02.JPG,CFAC_20_MAN_PC4258_02.JPG,18.75,21,6.75,19.5,6,16
